job_id,company_id,job_level,job_function,city,salary_min_k,salary_max_k,target_top10,online_days,urgency,hot_function,industry,company_size,funding_stage,brand_level,salary_level,intl_flag,top10_talent_ratio,avg_apply_cnt,hire_rate,talent_care_index,enterprise_tier,overall_rating,work_life_balance_score,salary_competitiveness,resume_response_rate,resume_response_time,offer_conversion_rate,impression_cnt,view_cnt,apply_cnt,hire_cnt,price_label
33,13,初级,后端开发,杭州,17,23,0,31,1,1,零售,100,A轮,1,4,1,0.263,258,0.189,0.244,T3,3.15,3.59,2.54,0.541,5.32,0.158,793,752,229,47,307.9
34,13,初级,数据分析,上海,34,36,1,15,3,1,零售,100,A轮,1,4,1,0.263,258,0.189,0.244,T3,3.15,3.59,2.54,0.541,5.32,0.158,758,722,215,40,304.19
35,13,高级,算法工程师,北京,36,47,1,53,3,1,零售,100,A轮,1,4,1,0.263,258,0.189,0.244,T3,3.15,3.59,2.54,0.541,5.32,0.158,763,722,217,45,304.73
36,14,初级,算法工程师,广州,16,26,0,29,1,1,咨询,200,C轮及以上,4,3,0,0.33,289,0.097,0.449,T1,4.97,3.62,3.4,0.217,4.68,0.327,844,803,239,23,377.72
37,14,初级,后端开发,上海,13,23,0,55,1,1,咨询,200,C轮及以上,4,3,0,0.33,289,0.097,0.449,T1,4.97,3.62,3.4,0.217,4.68,0.327,802,769,221,15,372.35
38,14,中级,后端开发,北京,12,26,0,42,1,1,咨询,200,C轮及以上,4,3,0,0.33,289,0.097,0.449,T1,4.97,3.62,3.4,0.217,4.68,0.327,809,772,231,27,375.38
39,15,初级,前端开发,广州,35,42,1,57,2,0,金融,100,B轮,3,4,1,0.261,124,0.196,0.515,T2,3.54,4.05,4.01,0.374,2.55,0.527,798,762,241,44,344.95
40,15,初级,数据分析,上海,36,47,0,7,3,1,金融,100,B轮,3,4,1,0.261,124,0.196,0.515,T2,3.54,4.05,4.01,0.374,2.55,0.527,805,762,219,46,338.69
41,16,高级,算法工程师,新加坡,11,16,1,47,2,1,教育,50,上市公司,5,1,0,0.251,126,0.101,0.418,T1,3.2,4.16,3.47,0.486,4.54,0.391,762,711,222,23,370.73
42,16,中级,前端开发,上海,23,31,1,26,1,0,教育,50,上市公司,5,1,0,0.251,126,0.101,0.418,T1,3.2,4.16,3.47,0.486,4.54,0.391,826,779,246,24,378.11
43,16,初级,产品经理,杭州,12,20,0,49,1,0,教育,50,上市公司,5,1,0,0.251,126,0.101,0.418,T1,3.2,4.16,3.47,0.486,4.54,0.391,785,748,229,18,372.96
44,16,中级,算法工程师,杭州,20,31,0,37,1,1,教育,50,上市公司,5,1,0,0.251,126,0.101,0.418,T1,3.2,4.16,3.47,0.486,4.54,0.391,807,773,226,27,372.01
45,16,中级,算法工程师,新加坡,15,27,0,12,2,1,教育,50,上市公司,5,1,0,0.251,126,0.101,0.418,T1,3.2,4.16,3.47,0.486,4.54,0.391,777,741,232,22,373.9
46,17,初级,后端开发,北京,9,14,0,31,3,1,零售,1000,天使轮,1,1,1,0.263,99,0.18,0.542,T3,4.66,3.75,4.66,0.396,1.93,0.139,711,616,176,30,292.41
47,18,高级,运营,上海,19,31,1,28,2,0,零售,1000,B轮,5,4,0,0.316,60,0.069,0.427,T1,4.41,4.11,3.27,0.295,3.39,0.196,780,746,239,22,392.59
48,19,中级,数据分析,杭州,9,11,0,54,2,1,金融,500,B轮,1,4,0,0.292,144,0.201,0.398,T3,4.23,2.56,3.23,0.71,6.35,0.337,759,726,218,43,311.15
49,19,高级,产品经理,上海,28,34,0,53,2,0,金融,500,B轮,1,4,0,0.292,144,0.201,0.398,T3,4.23,2.56,3.23,0.71,6.35,0.337,829,784,224,40,312.75
50,20,初级,后端开发,杭州,18,24,0,56,2,1,教育,100,A轮,2,1,0,0.434,205,0.179,0.46,T3,3.31,3.57,3.16,0.769,1.37,0.281,654,538,133,22,322.36
51,20,中级,数据分析,广州,37,41,1,10,1,1,教育,100,A轮,2,1,0,0.434,205,0.179,0.46,T3,3.31,3.57,3.16,0.769,1.37,0.281,727,677,185,27,342.85
52,20,中级,产品经理,上海,21,29,1,57,1,0,教育,100,A轮,2,1,0,0.434,205,0.179,0.46,T3,3.31,3.57,3.16,0.769,1.37,0.281,826,780,244,42,360.04
53,21,中级,后端开发,深圳,32,40,0,28,1,1,咨询,50,B轮,1,3,1,0.072,285,0.235,0.368,T3,3.96,3.2,3.33,0.38,3.01,0.279,759,726,191,43,225
54,21,高级,后端开发,北京,33,38,0,19,1,1,咨询,50,B轮,1,3,1,0.072,285,0.235,0.368,T3,3.96,3.2,3.33,0.38,3.01,0.279,760,725,190,44,225
55,21,中级,数据分析,杭州,23,37,0,19,3,1,咨询,50,B轮,1,3,1,0.072,285,0.235,0.368,T3,3.96,3.2,3.33,0.38,3.01,0.279,768,735,217,56,228.58
56,21,中级,产品经理,深圳,9,19,0,44,2,0,咨询,50,B轮,1,3,1,0.072,285,0.235,0.368,T3,3.96,3.2,3.33,0.38,3.01,0.279,808,772,211,56,226.93
57,21,初级,数据分析,北京,16,27,0,41,2,1,咨询,50,B轮,1,3,1,0.072,285,0.235,0.368,T3,3.96,3.2,3.33,0.38,3.01,0.279,717,684,212,53,227.21
58,22,中级,后端开发,新加坡,13,15,0,8,3,1,互联网,500,上市公司,4,5,0,0.425,119,0.208,0.518,T1,4.56,2.82,3.89,0.742,5.84,0.365,809,761,260,44,399
59,22,初级,产品经理,上海,10,15,0,40,1,0,互联网,500,上市公司,4,5,0,0.425,119,0.208,0.518,T1,4.56,2.82,3.89,0.742,5.84,0.365,809,771,226,53,391.24
60,23,中级,数据分析,广州,39,49,0,25,3,1,教育,200,上市公司,3,5,1,0.43,218,0.187,0.355,T2,3.61,2.75,4.27,0.47,6.8,0.392,797,750,233,46,375.37
61,23,高级,后端开发,北京,19,24,1,57,1,1,教育,200,上市公司,3,5,1,0.43,218,0.187,0.355,T2,3.61,2.75,4.27,0.47,6.8,0.392,850,814,245,39,378.66
62,24,初级,前端开发,杭州,39,43,1,52,3,0,金融,500,未融资,2,4,0,0.178,65,0.222,0.558,T2,3.62,4.01,4.16,0.555,3.45,0.498,801,753,222,51,298.84
63,24,高级,前端开发,广州,19,32,1,33,1,0,金融,500,未融资,2,4,0,0.178,65,0.222,0.558,T2,3.62,4.01,4.16,0.555,3.45,0.498,798,755,232,59,301.58
64,24,高级,前端开发,北京,20,25,1,19,2,0,金融,500,未融资,2,4,0,0.178,65,0.222,0.558,T2,3.62,4.01,4.16,0.555,3.45,0.498,857,814,228,40,300.5
65,24,中级,运营,杭州,20,31,0,25,1,0,金融,500,未融资,2,4,0,0.178,65,0.222,0.558,T2,3.62,4.01,4.16,0.555,3.45,0.498,754,716,211,38,295.69
66,24,初级,产品经理,新加坡,33,36,0,28,1,0,金融,500,未融资,2,4,0,0.178,65,0.222,0.558,T2,3.62,4.01,4.16,0.555,3.45,0.498,827,781,220,58,298.28
67,25,初级,算法工程师,杭州,21,23,1,36,2,1,零售,500,上市公司,1,5,0,0.258,117,0.086,0.498,T3,3.01,3.81,4.52,0.799,3.8,0.27,806,761,228,24,306.51
68,25,中级,产品经理,北京,34,46,0,9,1,0,零售,500,上市公司,1,5,0,0.258,117,0.086,0.498,T3,3.01,3.81,4.52,0.799,3.8,0.27,796,761,204,15,299.97
69,26,中级,前端开发,新加坡,23,25,1,49,1,0,咨询,100,上市公司,5,1,0,0.247,148,0.199,0.532,T1,3.35,3.13,4.71,0.725,4.22,0.503,794,755,246,56,376.95
70,26,中级,后端开发,杭州,8,11,0,29,2,1,咨询,100,上市公司,5,1,0,0.247,148,0.199,0.532,T1,3.35,3.13,4.71,0.725,4.22,0.503,765,732,206,35,364.2
71,26,初级,运营,杭州,20,31,1,44,2,0,咨询,100,上市公司,5,1,0,0.247,148,0.199,0.532,T1,3.35,3.13,4.71,0.725,4.22,0.503,822,786,236,48,373.97
72,26,中级,算法工程师,新加坡,19,29,0,30,1,1,咨询,100,上市公司,5,1,0,0.247,148,0.199,0.532,T1,3.35,3.13,4.71,0.725,4.22,0.503,758,727,197,36,360.99
73,27,中级,数据分析,北京,27,37,1,29,1,1,教育,200,A轮,2,1,0,0.148,97,0.093,0.611,T2,4.75,3.68,4.54,0.764,6.56,0.269,739,682,187,22,276.74
74,27,初级,产品经理,新加坡,15,20,1,7,2,0,教育,200,A轮,2,1,0,0.148,97,0.093,0.611,T2,4.75,3.68,4.54,0.764,6.56,0.269,784,745,191,23,278.05
75,27,中级,后端开发,上海,29,39,0,16,1,1,教育,200,A轮,2,1,0,0.148,97,0.093,0.611,T2,4.75,3.68,4.54,0.764,6.56,0.269,703,648,183,15,275.4
76,28,初级,后端开发,北京,34,40,1,35,3,1,互联网,500,上市公司,2,4,0,0.229,233,0.281,0.239,T3,3.88,3.73,2.55,0.296,6.08,0.128,772,739,212,59,311.62
77,29,高级,产品经理,新加坡,19,23,0,47,3,0,互联网,50,未融资,1,4,1,0.07,113,0.067,0.527,T3,4.97,2.99,4.34,0.249,1.61,0.377,834,781,215,14,226.38
78,29,中级,数据分析,深圳,30,36,0,19,3,1,互联网,50,未融资,1,4,1,0.07,113,0.067,0.527,T3,4.97,2.99,4.34,0.249,1.61,0.377,846,802,246,14,234.29
79,29,初级,后端开发,北京,13,16,1,15,1,1,互联网,50,未融资,1,4,1,0.07,113,0.067,0.527,T3,4.97,2.99,4.34,0.249,1.61,0.377,809,772,229,15,230.08
80,30,中级,后端开发,杭州,11,15,1,16,2,1,制造业,50,天使轮,2,4,1,0.175,236,0.158,0.564,T2,3.79,4.13,3.02,0.825,3.34,0.394,802,758,240,44,302.62
81,30,初级,算法工程师,杭州,19,22,1,54,1,1,制造业,50,天使轮,2,4,1,0.175,236,0.158,0.564,T2,3.79,4.13,3.02,0.825,3.34,0.394,817,779,237,38,301.84
82,30,初级,前端开发,北京,19,31,1,56,2,0,制造业,50,天使轮,2,4,1,0.175,236,0.158,0.564,T2,3.79,4.13,3.02,0.825,3.34,0.394,746,705,203,38,292.23
83,30,高级,算法工程师,广州,27,29,0,14,1,1,制造业,50,天使轮,2,4,1,0.175,236,0.158,0.564,T2,3.79,4.13,3.02,0.825,3.34,0.394,787,745,211,35,294.63
84,30,初级,产品经理,北京,10,17,0,22,1,0,制造业,50,天使轮,2,4,1,0.175,236,0.158,0.564,T2,3.79,4.13,3.02,0.825,3.34,0.394,862,823,234,31,301.05
85,31,中级,运营,上海,8,18,1,32,3,0,制造业,1000,A轮,5,3,1,0.418,139,0.224,0.59,T1,4.43,4.45,2.83,0.471,3.52,0.567,761,724,224,54,408.04
86,31,中级,前端开发,深圳,36,45,0,33,2,0,制造业,1000,A轮,5,3,1,0.418,139,0.224,0.59,T1,4.43,4.45,2.83,0.471,3.52,0.567,781,740,224,48,408.04
87,32,高级,算法工程师,上海,11,25,0,38,1,1,金融,200,天使轮,2,5,1,0.178,239,0.165,0.498,T3,3.56,4.48,4.1,0.402,5.63,0.463,717,678,213,38,296.27
88,32,中级,算法工程师,杭州,24,38,0,25,1,1,金融,200,天使轮,2,5,1,0.178,239,0.165,0.498,T3,3.56,4.48,4.1,0.402,5.63,0.463,812,773,249,45,305.97
89,32,高级,后端开发,北京,29,41,0,58,1,1,金融,200,天使轮,2,5,1,0.178,239,0.165,0.498,T3,3.56,4.48,4.1,0.402,5.63,0.463,800,757,233,42,301.84
90,33,中级,前端开发,广州,38,52,0,44,3,0,教育,200,A轮,5,4,0,0.418,298,0.073,0.564,T1,3.73,4.01,3.3,0.707,4.42,0.559,759,720,197,11,398.81
91,34,初级,运营,上海,21,28,0,37,3,0,教育,1000,C轮及以上,1,2,0,0.289,125,0.188,0.487,T3,3.38,3.78,2.64,0.785,4.75,0.554,725,631,168,30,295.22
92,35,中级,算法工程师,杭州,17,23,1,56,3,1,零售,500,B轮,3,2,0,0.446,188,0.21,0.364,T2,3.69,2.65,2.84,0.804,6.99,0.402,778,742,217,47,373.11
93,35,初级,产品经理,杭州,31,41,0,34,3,0,零售,500,B轮,3,2,0,0.446,188,0.21,0.364,T2,3.69,2.65,2.84,0.804,6.99,0.402,772,730,221,51,374.3
94,36,中级,产品经理,上海,31,42,0,22,2,0,零售,200,C轮及以上,2,1,1,0.309,150,0.226,0.401,T3,4.09,3.22,2.5,0.421,0.99,0.364,730,687,202,58,327.22
95,36,初级,算法工程师,深圳,37,40,0,32,2,1,零售,200,C轮及以上,2,1,1,0.309,150,0.226,0.401,T3,4.09,3.22,2.5,0.421,0.99,0.364,709,672,172,36,317.24
96,36,高级,运营,上海,30,42,1,15,3,0,零售,200,C轮及以上,2,1,1,0.309,150,0.226,0.401,T3,4.09,3.22,2.5,0.421,0.99,0.364,757,719,205,56,328.14
97,36,初级,算法工程师,深圳,33,35,0,37,2,1,零售,200,C轮及以上,2,1,1,0.309,150,0.226,0.401,T3,4.09,3.22,2.5,0.421,0.99,0.364,689,659,187,38,322.43
98,36,高级,算法工程师,广州,22,36,0,38,3,1,零售,200,C轮及以上,2,1,1,0.309,150,0.226,0.401,T3,4.09,3.22,2.5,0.421,0.99,0.364,808,770,234,43,336.35
99,37,高级,前端开发,上海,28,32,0,21,2,0,零售,50,上市公司,3,5,0,0.063,138,0.143,0.685,T2,4.98,2.73,4.76,0.797,1.95,0.379,814,781,206,37,250
100,38,初级,算法工程师,广州,27,38,1,57,1,1,制造业,50,天使轮,5,4,0,0.354,67,0.191,0.544,T1,4.33,4.91,2.56,0.229,3.15,0.589,758,726,216,41,393.48
101,38,初级,后端开发,广州,31,44,0,19,3,1,制造业,50,天使轮,5,4,0,0.354,67,0.191,0.544,T1,4.33,4.91,2.56,0.229,3.15,0.589,771,730,217,46,393.81
102,38,高级,前端开发,深圳,26,37,0,32,1,0,制造业,50,天使轮,5,4,0,0.354,67,0.191,0.544,T1,4.33,4.91,2.56,0.229,3.15,0.589,821,783,243,39,401.95
103,38,中级,前端开发,杭州,31,36,0,23,1,0,制造业,50,天使轮,5,4,0,0.354,67,0.191,0.544,T1,4.33,4.91,2.56,0.229,3.15,0.589,818,773,238,48,400.45
104,39,初级,后端开发,北京,11,15,0,31,1,1,教育,100,上市公司,2,2,0,0.07,68,0.163,0.289,T3,3.4,2.84,3.02,0.235,2.76,0.487,824,776,227,34,242.32
105,39,中级,运营,深圳,15,25,1,7,1,0,教育,100,上市公司,2,2,0,0.07,68,0.163,0.289,T3,3.4,2.84,3.02,0.235,2.76,0.487,793,756,213,29,238.37
106,39,高级,后端开发,新加坡,11,15,0,44,2,1,教育,100,上市公司,2,2,0,0.07,68,0.163,0.289,T3,3.4,2.84,3.02,0.235,2.76,0.487,770,731,207,31,237.5
107,39,高级,后端开发,上海,33,40,0,47,3,1,教育,100,上市公司,2,2,0,0.07,68,0.163,0.289,T3,3.4,2.84,3.02,0.235,2.76,0.487,749,719,207,35,237.5
108,39,初级,运营,深圳,30,35,1,30,2,0,教育,100,上市公司,2,2,0,0.07,68,0.163,0.289,T3,3.4,2.84,3.02,0.235,2.76,0.487,743,703,194,33,237.5
109,40,中级,产品经理,杭州,13,25,0,23,3,0,教育,200,B轮,4,5,0,0.253,264,0.218,0.34,T2,3.09,2.88,3.54,0.636,0.64,0.153,796,767,234,43,358.03
110,41,高级,算法工程师,深圳,21,34,0,28,1,1,互联网,500,A轮,3,1,1,0.468,104,0.196,0.476,T2,3.25,4.72,3.39,0.244,1.1,0.489,740,701,217,43,376.26
111,41,中级,算法工程师,广州,11,20,0,22,1,1,互联网,500,A轮,3,1,1,0.468,104,0.196,0.476,T2,3.25,4.72,3.39,0.244,1.1,0.489,846,809,227,43,379.2
112,41,高级,产品经理,北京,35,47,0,9,2,0,互联网,500,A轮,3,1,1,0.468,104,0.196,0.476,T2,3.25,4.72,3.39,0.244,1.1,0.489,774,744,247,44,380
113,42,高级,算法工程师,广州,9,17,0,30,3,1,制造业,1000,B轮,2,3,1,0.124,151,0.181,0.561,T2,4.13,4.86,4.78,0.427,4.93,0.185,761,721,217,39,274.99
114,42,中级,产品经理,上海,37,39,1,35,1,0,制造业,1000,B轮,2,3,1,0.124,151,0.181,0.561,T2,4.13,4.86,4.78,0.427,4.93,0.185,787,752,277,47,290.14
115,43,中级,后端开发,深圳,21,32,0,23,3,1,咨询,1000,未融资,3,5,0,0.225,167,0.112,0.526,T2,4.53,4.41,2.6,0.671,6.22,0.324,764,720,213,22,327.18
116,44,初级,产品经理,深圳,16,23,1,12,1,0,制造业,500,B轮,2,5,1,0.378,259,0.051,0.413,T3,4.88,2.51,3.78,0.436,3.84,0.205,821,785,259,13,355.17
117,44,高级,运营,深圳,29,32,0,53,2,0,制造业,500,B轮,2,5,1,0.378,259,0.051,0.413,T3,4.88,2.51,3.78,0.436,3.84,0.205,714,665,190,8,335.93
118,45,中级,数据分析,上海,39,50,1,36,1,1,咨询,3000,未融资,1,3,0,0.447,203,0.094,0.29,T3,3.03,2.5,4.2,0.326,4,0.445,789,764,203,16,332.01
119,45,初级,前端开发,北京,8,15,0,19,3,0,咨询,3000,未融资,1,3,0,0.447,203,0.094,0.29,T3,3.03,2.5,4.2,0.326,4,0.445,774,739,208,21,333.44
120,45,初级,前端开发,广州,12,22,0,14,1,0,咨询,3000,未融资,1,3,0,0.447,203,0.094,0.29,T3,3.03,2.5,4.2,0.326,4,0.445,710,659,195,25,329.64
121,45,初级,算法工程师,北京,31,33,0,38,2,1,咨询,3000,未融资,1,3,0,0.447,203,0.094,0.29,T3,3.03,2.5,4.2,0.326,4,0.445,753,715,214,22,335.11
122,45,高级,数据分析,杭州,24,36,0,8,1,1,咨询,3000,未融资,1,3,0,0.447,203,0.094,0.29,T3,3.03,2.5,4.2,0.326,4,0.445,770,723,203,21,332.01
123,46,中级,前端开发,北京,11,13,0,26,2,0,互联网,100,B轮,3,5,0,0.352,183,0.079,0.584,T2,4.05,3.45,4.83,0.397,2.16,0.539,788,744,220,27,358.54
124,47,初级,后端开发,北京,25,28,0,48,3,1,金融,1000,未融资,4,1,0,0.166,53,0.162,0.374,T2,3.94,2.86,4.05,0.52,5.49,0.245,781,746,206,36,320.38
125,47,高级,算法工程师,广州,30,39,1,22,2,1,金融,1000,未融资,4,1,0,0.166,53,0.162,0.374,T2,3.94,2.86,4.05,0.52,5.49,0.245,854,817,251,46,333.93
126,47,初级,数据分析,北京,31,38,0,31,1,1,金融,1000,未融资,4,1,0,0.166,53,0.162,0.374,T2,3.94,2.86,4.05,0.52,5.49,0.245,769,733,209,28,321.37
127,48,中级,后端开发,上海,17,29,0,37,1,1,教育,200,天使轮,4,1,0,0.354,157,0.203,0.388,T2,4.31,2.55,4.51,0.533,5.39,0.141,794,769,220,47,376.85
128,48,初级,后端开发,新加坡,10,16,0,13,3,1,教育,200,天使轮,4,1,0,0.354,157,0.203,0.388,T2,4.31,2.55,4.51,0.533,5.39,0.141,838,790,236,47,381.67
129,48,高级,前端开发,杭州,32,37,1,23,1,0,教育,200,天使轮,4,1,0,0.354,157,0.203,0.388,T2,4.31,2.55,4.51,0.533,5.39,0.141,758,715,218,31,376.23
130,49,高级,运营,广州,16,22,1,57,3,0,互联网,100,上市公司,5,3,0,0.184,164,0.103,0.46,T1,4.12,3.66,2.71,0.748,4.32,0.249,798,762,233,27,351.88
131,49,中级,产品经理,杭州,24,30,0,42,3,0,互联网,100,上市公司,5,3,0,0.184,164,0.103,0.46,T1,4.12,3.66,2.71,0.748,4.32,0.249,799,755,220,19,347.76
132,49,初级,数据分析,广州,20,28,1,34,1,1,互联网,100,上市公司,5,3,0,0.184,164,0.103,0.46,T1,4.12,3.66,2.71,0.748,4.32,0.249,782,754,221,27,348.08
133,50,高级,前端开发,北京,12,21,0,15,1,0,教育,200,上市公司,2,4,1,0.373,78,0.285,0.714,T2,4.37,4.86,3.46,0.725,1.88,0.436,764,728,208,58,340.73
134,50,初级,后端开发,上海,23,34,1,49,2,1,教育,200,上市公司,2,4,1,0.373,78,0.285,0.714,T2,4.37,4.86,3.46,0.725,1.88,0.436,775,742,228,62,346.43
135,50,初级,数据分析,深圳,32,37,0,13,1,1,教育,200,上市公司,2,4,1,0.373,78,0.285,0.714,T2,4.37,4.86,3.46,0.725,1.88,0.436,845,794,260,64,354.58
136,50,初级,后端开发,广州,29,32,1,8,2,1,教育,200,上市公司,2,4,1,0.373,78,0.285,0.714,T2,4.37,4.86,3.46,0.725,1.88,0.436,805,758,221,69,344.49
137,51,高级,后端开发,北京,8,16,1,54,2,1,零售,50,C轮及以上,3,2,0,0.479,108,0.052,0.484,T2,4.32,3.31,3.43,0.52,1.13,0.264,808,762,245,12,380
138,51,高级,运营,新加坡,21,33,1,23,3,0,零售,50,C轮及以上,3,2,0,0.479,108,0.052,0.484,T2,4.32,3.31,3.43,0.52,1.13,0.264,763,729,212,10,376.25
139,52,高级,运营,上海,24,26,1,29,2,0,金融,100,上市公司,5,4,1,0.375,174,0.243,0.593,T1,3.23,4.15,4.72,0.792,0.92,0.239,807,765,252,55,408.71
140,52,中级,运营,杭州,12,24,1,30,3,0,金融,100,上市公司,5,4,1,0.375,174,0.243,0.593,T1,3.23,4.15,4.72,0.792,0.92,0.239,798,747,218,56,398.29
